index,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,nonzero_mean,output_type,gtex_tissue,histone_mark,transcription_factor
0,CL:0000084 ATAC-seq,.,ATAC-seq,CL:0000084,T-cell,primary_cell,adult,encode,paired,false,0.7397409677505493,OutputType.ATAC,NaN,NaN,NaN
1,CL:0000100 ATAC-seq,.,ATAC-seq,CL:0000100,motor neuron,in_vitro_differentiated_cells,adult,encode,paired,false,0.27313634753227234,OutputType.ATAC,NaN,NaN,NaN
2,CL:0000236 ATAC-seq,.,ATAC-seq,CL:0000236,B cell,primary_cell,adult,encode,paired,false,4.7000813484191895,OutputType.ATAC,NaN,NaN,NaN
3,CL:0000623 ATAC-seq,.,ATAC-seq,CL:0000623,natural killer cell,primary_cell,adult,encode,paired,false,0.9387146234512329,OutputType.ATAC,NaN,NaN,NaN
4,CL:0000624 ATAC-seq,.,ATAC-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,false,4.365206241607666,OutputType.ATAC,NaN,NaN,NaN
5,CL:0000625 ATAC-seq,.,ATAC-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,false,4.313536643981934,OutputType.ATAC,NaN,NaN,NaN
6,CL:0000787 ATAC-seq,.,ATAC-seq,CL:0000787,memory B cell,primary_cell,adult,encode,paired,false,2.8392298221588135,OutputType.ATAC,NaN,NaN,NaN
7,CL:0000788 ATAC-seq,.,ATAC-seq,CL:0000788,naive B cell,primary_cell,adult,encode,paired,false,1.5962289571762085,OutputType.ATAC,NaN,NaN,NaN
8,CL:0000792 ATAC-seq,.,ATAC-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,adult,encode,paired,false,1.5548043251037598,OutputType.ATAC,NaN,NaN,NaN
9,CL:0000895 ATAC-seq,.,ATAC-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,false,1.0227291584014893,OutputType.ATAC,NaN,NaN,NaN
10,CL:0000899 ATAC-seq,.,ATAC-seq,CL:0000899,T-helper 17 cell,primary_cell,adult,encode,paired,false,1.5611252784729004,OutputType.ATAC,NaN,NaN,NaN
11,CL:0000900 ATAC-seq,.,ATAC-seq,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,false,1.8816421031951904,OutputType.ATAC,NaN,NaN,NaN
12,CL:0000907 ATAC-seq,.,ATAC-seq,CL:0000907,"central memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,false,4.821074485778809,OutputType.ATAC,NaN,NaN,NaN
13,CL:0000913 ATAC-seq,.,ATAC-seq,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,false,2.472047805786133,OutputType.ATAC,NaN,NaN,NaN
14,CL:1001606 ATAC-seq,.,ATAC-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,encode,paired,false,0.4663943946361542,OutputType.ATAC,NaN,NaN,NaN
15,CLO:0013950 ATAC-seq,.,ATAC-seq,CLO:0013950,GM21619,cell_line,adult,encode,paired,false,1.7834908962249756,OutputType.ATAC,NaN,NaN,NaN
16,CLO:0014043 ATAC-seq,.,ATAC-seq,CLO:0014043,GM21717,cell_line,adult,encode,paired,false,1.2564560174942017,OutputType.ATAC,NaN,NaN,NaN
17,CLO:0014078 ATAC-seq,.,ATAC-seq,CLO:0014078,GM21529,cell_line,adult,encode,paired,false,1.5800923109054565,OutputType.ATAC,NaN,NaN,NaN
18,CLO:0014080 ATAC-seq,.,ATAC-seq,CLO:0014080,GM21528,cell_line,adult,encode,paired,false,1.3013041019439697,OutputType.ATAC,NaN,NaN,NaN
19,CLO:0014083 ATAC-seq,.,ATAC-seq,CLO:0014083,GM21526,cell_line,adult,encode,paired,false,1.3625142574310303,OutputType.ATAC,NaN,NaN,NaN
20,CLO:0014097 ATAC-seq,.,ATAC-seq,CLO:0014097,GM21576,cell_line,adult,encode,paired,false,1.7179261445999146,OutputType.ATAC,NaN,NaN,NaN
21,CLO:0014163 ATAC-seq,.,ATAC-seq,CLO:0014163,GM21447,cell_line,adult,encode,paired,false,2.170809030532837,OutputType.ATAC,NaN,NaN,NaN
22,CLO:0014886 ATAC-seq,.,ATAC-seq,CLO:0014886,GM21723,cell_line,adult,encode,paired,false,1.3347936868667603,OutputType.ATAC,NaN,NaN,NaN
23,CLO:0014941 ATAC-seq,.,ATAC-seq,CLO:0014941,GM21825,cell_line,adult,encode,paired,false,1.5821340084075928,OutputType.ATAC,NaN,NaN,NaN
24,CLO:0015884 ATAC-seq,.,ATAC-seq,CLO:0015884,GM21390,cell_line,adult,encode,paired,false,1.7690157890319824,OutputType.ATAC,NaN,NaN,NaN
25,CLO:0015895 ATAC-seq,.,ATAC-seq,CLO:0015895,GM21381,cell_line,adult,encode,paired,false,1.7851890325546265,OutputType.ATAC,NaN,NaN,NaN
26,CLO:0015900 ATAC-seq,.,ATAC-seq,CLO:0015900,GM21367,cell_line,adult,encode,paired,false,2.0021002292633057,OutputType.ATAC,NaN,NaN,NaN
27,CLO:0015908 ATAC-seq,.,ATAC-seq,CLO:0015908,GM21360,cell_line,adult,encode,paired,false,1.826042890548706,OutputType.ATAC,NaN,NaN,NaN
28,CLO:0015947 ATAC-seq,.,ATAC-seq,CLO:0015947,GM21423,cell_line,adult,encode,paired,false,1.6216312646865845,OutputType.ATAC,NaN,NaN,NaN
29,CLO:0024877 ATAC-seq,.,ATAC-seq,CLO:0024877,GM18511,cell_line,adult,encode,paired,false,1.3245776891708374,OutputType.ATAC,NaN,NaN,NaN
30,CLO:0024886 ATAC-seq,.,ATAC-seq,CLO:0024886,GM18519,cell_line,adult,encode,paired,false,1.904711365699768,OutputType.ATAC,NaN,NaN,NaN
31,CLO:0024890 ATAC-seq,.,ATAC-seq,CLO:0024890,GM18517,cell_line,adult,encode,paired,false,1.3415968418121338,OutputType.ATAC,NaN,NaN,NaN
32,CLO:0024898 ATAC-seq,.,ATAC-seq,CLO:0024898,GM18520,cell_line,adult,encode,paired,false,1.8731361627578735,OutputType.ATAC,NaN,NaN,NaN
33,CLO:0024919 ATAC-seq,.,ATAC-seq,CLO:0024919,GM18508,cell_line,adult,encode,paired,false,2.859638214111328,OutputType.ATAC,NaN,NaN,NaN
34,CLO:0024933 ATAC-seq,.,ATAC-seq,CLO:0024933,GM18499,cell_line,adult,encode,paired,false,3.3136110305786133,OutputType.ATAC,NaN,NaN,NaN
35,CLO:0024937 ATAC-seq,.,ATAC-seq,CLO:0024937,GM18498,cell_line,adult,encode,paired,false,1.1740740537643433,OutputType.ATAC,NaN,NaN,NaN
36,CLO:0025816 ATAC-seq,.,ATAC-seq,CLO:0025816,GM19035,cell_line,adult,encode,paired,false,1.7000188827514648,OutputType.ATAC,NaN,NaN,NaN
37,CLO:0026238 ATAC-seq,.,ATAC-seq,CLO:0026238,GM18907,cell_line,adult,encode,paired,false,0.7575818300247192,OutputType.ATAC,NaN,NaN,NaN
38,CLO:0026245 ATAC-seq,.,ATAC-seq,CLO:0026245,GM18873,cell_line,adult,encode,paired,false,1.4657907485961914,OutputType.ATAC,NaN,NaN,NaN
39,CLO:0026249 ATAC-seq,.,ATAC-seq,CLO:0026249,GM18870,cell_line,adult,encode,paired,false,1.5401667356491089,OutputType.ATAC,NaN,NaN,NaN
40,CLO:0026250 ATAC-seq,.,ATAC-seq,CLO:0026250,GM18867,cell_line,adult,encode,paired,false,1.0017602443695068,OutputType.ATAC,NaN,NaN,NaN
41,CLO:0026253 ATAC-seq,.,ATAC-seq,CLO:0026253,GM18868,cell_line,adult,encode,paired,false,1.1957333087921143,OutputType.ATAC,NaN,NaN,NaN
42,CLO:0026256 ATAC-seq,.,ATAC-seq,CLO:0026256,GM18861,cell_line,adult,encode,paired,false,1.6442385911941528,OutputType.ATAC,NaN,NaN,NaN
43,CLO:0026258 ATAC-seq,.,ATAC-seq,CLO:0026258,GM18858,cell_line,adult,encode,paired,false,2.154571056365967,OutputType.ATAC,NaN,NaN,NaN
44,CLO:0026782 ATAC-seq,.,ATAC-seq,CLO:0026782,GM19397,cell_line,adult,encode,paired,false,1.8430635929107666,OutputType.ATAC,NaN,NaN,NaN
45,CLO:0026790 ATAC-seq,.,ATAC-seq,CLO:0026790,GM19395,cell_line,adult,encode,paired,false,1.3690444231033325,OutputType.ATAC,NaN,NaN,NaN
46,CLO:0026824 ATAC-seq,.,ATAC-seq,CLO:0026824,GM19438,cell_line,adult,encode,paired,false,2.8961288928985596,OutputType.ATAC,NaN,NaN,NaN
47,CLO:0026846 ATAC-seq,.,ATAC-seq,CLO:0026846,GM19452,cell_line,adult,encode,paired,false,2.1193931102752686,OutputType.ATAC,NaN,NaN,NaN
48,CLO:0026863 ATAC-seq,.,ATAC-seq,CLO:0026863,GM19455,cell_line,adult,encode,paired,false,2.0495858192443848,OutputType.ATAC,NaN,NaN,NaN
49,CLO:0026874 ATAC-seq,.,ATAC-seq,CLO:0026874,GM19463,cell_line,adult,encode,paired,false,2.3056650161743164,OutputType.ATAC,NaN,NaN,NaN
50,CLO:0026877 ATAC-seq,.,ATAC-seq,CLO:0026877,GM19467,cell_line,adult,encode,paired,false,1.7229173183441162,OutputType.ATAC,NaN,NaN,NaN
51,CLO:0027429 ATAC-seq,.,ATAC-seq,CLO:0027429,GM19372,cell_line,adult,encode,paired,false,2.746520519256592,OutputType.ATAC,NaN,NaN,NaN
52,CLO:0027432 ATAC-seq,.,ATAC-seq,CLO:0027432,GM19351,cell_line,adult,encode,paired,false,1.6009893417358398,OutputType.ATAC,NaN,NaN,NaN
53,CLO:0027443 ATAC-seq,.,ATAC-seq,CLO:0027443,GM19324,cell_line,adult,encode,paired,false,1.1978780031204224,OutputType.ATAC,NaN,NaN,NaN
54,CLO:0027445 ATAC-seq,.,ATAC-seq,CLO:0027445,GM19328,cell_line,adult,encode,paired,false,2.474120855331421,OutputType.ATAC,NaN,NaN,NaN
55,EFO:0001086 ATAC-seq,.,ATAC-seq,EFO:0001086,A549,cell_line,adult,encode,single,false,1.4976966381072998,OutputType.ATAC,NaN,NaN,NaN
56,EFO:0001187 ATAC-seq,.,ATAC-seq,EFO:0001187,HepG2,cell_line,child,encode,paired,false,0.3457242250442505,OutputType.ATAC,NaN,NaN,NaN
57,EFO:0001196 ATAC-seq,.,ATAC-seq,EFO:0001196,IMR-90,cell_line,embryonic,encode,paired,false,1.5381346940994263,OutputType.ATAC,NaN,NaN,NaN
58,EFO:0001203 ATAC-seq,.,ATAC-seq,EFO:0001203,MCF-7,cell_line,adult,encode,paired,false,1.545133113861084,OutputType.ATAC,NaN,NaN,NaN
59,EFO:0001221 ATAC-seq,.,ATAC-seq,EFO:0001221,NCI-H929,cell_line,adult,encode,paired,false,0.8327634930610657,OutputType.ATAC,NaN,NaN,NaN
60,EFO:0002067 ATAC-seq,.,ATAC-seq,EFO:0002067,K562,cell_line,adult,encode,paired,false,0.3458327054977417,OutputType.ATAC,NaN,NaN,NaN
61,EFO:0002074 ATAC-seq,.,ATAC-seq,EFO:0002074,PC-3,cell_line,adult,encode,paired,false,1.5142802000045776,OutputType.ATAC,NaN,NaN,NaN
62,EFO:0002713 ATAC-seq,.,ATAC-seq,EFO:0002713,Panc1,cell_line,adult,encode,paired,false,1.317395806312561,OutputType.ATAC,NaN,NaN,NaN
63,EFO:0002784 ATAC-seq,.,ATAC-seq,EFO:0002784,GM12878,cell_line,adult,encode,paired,false,0.37652507424354553,OutputType.ATAC,NaN,NaN,NaN
64,EFO:0002824 ATAC-seq,.,ATAC-seq,EFO:0002824,HCT116,cell_line,adult,encode,paired,false,1.5315731763839722,OutputType.ATAC,NaN,NaN,NaN
65,EFO:0005332 ATAC-seq,.,ATAC-seq,EFO:0005332,GM18505,cell_line,adult,encode,paired,false,1.7733904123306274,OutputType.ATAC,NaN,NaN,NaN
66,EFO:0007074 ATAC-seq,.,ATAC-seq,EFO:0007074,DND-41,cell_line,child,encode,paired,false,1.5603737831115723,OutputType.ATAC,NaN,NaN,NaN
67,EFO:0007610 ATAC-seq,.,ATAC-seq,EFO:0007610,RWPE2,cell_line,unknown,encode,paired,false,1.0684702396392822,OutputType.ATAC,NaN,NaN,NaN
68,EFO:0007950 ATAC-seq,.,ATAC-seq,EFO:0007950,GM23338,cell_line,adult,encode,paired,false,0.39514708518981934,OutputType.ATAC,NaN,NaN,NaN
69,EFO:0009747 ATAC-seq,.,ATAC-seq,EFO:0009747,WTC11,cell_line,adult,encode,paired,false,1.1249884366989136,OutputType.ATAC,NaN,NaN,NaN
70,EFO:0010835 ATAC-seq,.,ATAC-seq,EFO:0010835,GM19023,cell_line,adult,encode,paired,false,2.2722747325897217,OutputType.ATAC,NaN,NaN,NaN
71,EFO:0010836 ATAC-seq,.,ATAC-seq,EFO:0010836,GM19025,cell_line,adult,encode,paired,false,2.6639323234558105,OutputType.ATAC,NaN,NaN,NaN
72,EFO:0010837 ATAC-seq,.,ATAC-seq,EFO:0010837,GM19043,cell_line,adult,encode,paired,false,2.891838312149048,OutputType.ATAC,NaN,NaN,NaN
73,EFO:0010838 ATAC-seq,.,ATAC-seq,EFO:0010838,GM21515,cell_line,adult,encode,paired,false,1.4099575281143188,OutputType.ATAC,NaN,NaN,NaN
74,EFO:0010839 ATAC-seq,.,ATAC-seq,EFO:0010839,GM21737,cell_line,adult,encode,paired,false,1.7709256410598755,OutputType.ATAC,NaN,NaN,NaN
75,EFO:0010840 ATAC-seq,.,ATAC-seq,EFO:0010840,GM21786,cell_line,adult,encode,paired,false,2.0250661373138428,OutputType.ATAC,NaN,NaN,NaN
76,EFO:0010841 ATAC-seq,.,ATAC-seq,EFO:0010841,HG02571,cell_line,adult,encode,paired,false,2.0339393615722656,OutputType.ATAC,NaN,NaN,NaN
77,EFO:0010842 ATAC-seq,.,ATAC-seq,EFO:0010842,HG02588,cell_line,adult,encode,paired,false,1.6361886262893677,OutputType.ATAC,NaN,NaN,NaN
78,EFO:0010843 ATAC-seq,.,ATAC-seq,EFO:0010843,HG02610,cell_line,adult,encode,paired,false,1.073131799697876,OutputType.ATAC,NaN,NaN,NaN
79,EFO:0010844 ATAC-seq,.,ATAC-seq,EFO:0010844,HG02623,cell_line,adult,encode,paired,false,2.20443058013916,OutputType.ATAC,NaN,NaN,NaN
80,EFO:0010846 ATAC-seq,.,ATAC-seq,EFO:0010846,HG02678,cell_line,adult,encode,paired,false,1.3135043382644653,OutputType.ATAC,NaN,NaN,NaN
81,EFO:0010847 ATAC-seq,.,ATAC-seq,EFO:0010847,HG02759,cell_line,adult,encode,paired,false,1.389145851135254,OutputType.ATAC,NaN,NaN,NaN
82,EFO:0010848 ATAC-seq,.,ATAC-seq,EFO:0010848,HG02763,cell_line,adult,encode,paired,false,1.718657374382019,OutputType.ATAC,NaN,NaN,NaN
83,EFO:0010850 ATAC-seq,.,ATAC-seq,EFO:0010850,HG02840,cell_line,adult,encode,paired,false,1.8972817659378052,OutputType.ATAC,NaN,NaN,NaN
84,EFO:0010851 ATAC-seq,.,ATAC-seq,EFO:0010851,HG02852,cell_line,adult,encode,paired,false,1.8264821767807007,OutputType.ATAC,NaN,NaN,NaN
85,EFO:0010852 ATAC-seq,.,ATAC-seq,EFO:0010852,HG02870,cell_line,adult,encode,paired,false,1.808053970336914,OutputType.ATAC,NaN,NaN,NaN
86,EFO:0010853 ATAC-seq,.,ATAC-seq,EFO:0010853,HG02884,cell_line,adult,encode,paired,false,2.4083950519561768,OutputType.ATAC,NaN,NaN,NaN
87,EFO:0010855 ATAC-seq,.,ATAC-seq,EFO:0010855,HG02938,cell_line,adult,encode,paired,false,2.012936592102051,OutputType.ATAC,NaN,NaN,NaN
88,EFO:0010856 ATAC-seq,.,ATAC-seq,EFO:0010856,HG02943,cell_line,adult,encode,paired,false,2.342193603515625,OutputType.ATAC,NaN,NaN,NaN
89,EFO:0010857 ATAC-seq,.,ATAC-seq,EFO:0010857,HG02970,cell_line,adult,encode,paired,false,1.6933996677398682,OutputType.ATAC,NaN,NaN,NaN
90,EFO:0010858 ATAC-seq,.,ATAC-seq,EFO:0010858,HG02973,cell_line,adult,encode,paired,false,1.6970741748809814,OutputType.ATAC,NaN,NaN,NaN
91,EFO:0010859 ATAC-seq,.,ATAC-seq,EFO:0010859,HG02981,cell_line,adult,encode,paired,false,1.7394976615905762,OutputType.ATAC,NaN,NaN,NaN
92,EFO:0010860 ATAC-seq,.,ATAC-seq,EFO:0010860,HG03025,cell_line,adult,encode,paired,false,2.08929181098938,OutputType.ATAC,NaN,NaN,NaN
93,EFO:0010861 ATAC-seq,.,ATAC-seq,EFO:0010861,HG03039,cell_line,adult,encode,paired,false,1.887401819229126,OutputType.ATAC,NaN,NaN,NaN
94,EFO:0010862 ATAC-seq,.,ATAC-seq,EFO:0010862,HG03045,cell_line,adult,encode,paired,false,1.4358277320861816,OutputType.ATAC,NaN,NaN,NaN
95,EFO:0010863 ATAC-seq,.,ATAC-seq,EFO:0010863,HG03060,cell_line,adult,encode,paired,false,2.9752275943756104,OutputType.ATAC,NaN,NaN,NaN
96,EFO:0010864 ATAC-seq,.,ATAC-seq,EFO:0010864,HG03064,cell_line,adult,encode,paired,false,2.4102463722229004,OutputType.ATAC,NaN,NaN,NaN
97,EFO:0010865 ATAC-seq,.,ATAC-seq,EFO:0010865,HG03066,cell_line,adult,encode,paired,false,3.017244577407837,OutputType.ATAC,NaN,NaN,NaN
98,EFO:0010866 ATAC-seq,.,ATAC-seq,EFO:0010866,HG03095,cell_line,adult,encode,paired,false,1.8795949220657349,OutputType.ATAC,NaN,NaN,NaN
99,EFO:0010867 ATAC-seq,.,ATAC-seq,EFO:0010867,HG03097,cell_line,adult,encode,paired,false,1.5082517862319946,OutputType.ATAC,NaN,NaN,NaN
100,EFO:0010868 ATAC-seq,.,ATAC-seq,EFO:0010868,HG03103,cell_line,adult,encode,paired,false,2.6086442470550537,OutputType.ATAC,NaN,NaN,NaN
101,EFO:0010869 ATAC-seq,.,ATAC-seq,EFO:0010869,HG03108,cell_line,adult,encode,paired,false,2.047980546951294,OutputType.ATAC,NaN,NaN,NaN
102,EFO:0010870 ATAC-seq,.,ATAC-seq,EFO:0010870,HG03135,cell_line,adult,encode,paired,false,1.6855212450027466,OutputType.ATAC,NaN,NaN,NaN
103,EFO:0010871 ATAC-seq,.,ATAC-seq,EFO:0010871,HG03139,cell_line,adult,encode,paired,false,2.3533685207366943,OutputType.ATAC,NaN,NaN,NaN
104,EFO:0010872 ATAC-seq,.,ATAC-seq,EFO:0010872,HG03159,cell_line,adult,encode,paired,false,1.4590009450912476,OutputType.ATAC,NaN,NaN,NaN
105,EFO:0010873 ATAC-seq,.,ATAC-seq,EFO:0010873,HG03175,cell_line,adult,encode,paired,false,1.2928885221481323,OutputType.ATAC,NaN,NaN,NaN
106,EFO:0010874 ATAC-seq,.,ATAC-seq,EFO:0010874,HG03196,cell_line,adult,encode,paired,false,1.3755143880844116,OutputType.ATAC,NaN,NaN,NaN
107,EFO:0010875 ATAC-seq,.,ATAC-seq,EFO:0010875,HG03280,cell_line,adult,encode,paired,false,1.638237476348877,OutputType.ATAC,NaN,NaN,NaN
108,EFO:0010876 ATAC-seq,.,ATAC-seq,EFO:0010876,HG03342,cell_line,adult,encode,paired,false,1.416108250617981,OutputType.ATAC,NaN,NaN,NaN
109,EFO:0010878 ATAC-seq,.,ATAC-seq,EFO:0010878,HG03378,cell_line,adult,encode,paired,false,1.1888407468795776,OutputType.ATAC,NaN,NaN,NaN
110,EFO:0010879 ATAC-seq,.,ATAC-seq,EFO:0010879,HG03432,cell_line,adult,encode,paired,false,0.9875123500823975,OutputType.ATAC,NaN,NaN,NaN
111,EFO:0010880 ATAC-seq,.,ATAC-seq,EFO:0010880,HG03439,cell_line,adult,encode,paired,false,1.4904228448867798,OutputType.ATAC,NaN,NaN,NaN
112,EFO:0010881 ATAC-seq,.,ATAC-seq,EFO:0010881,HG03442,cell_line,adult,encode,paired,false,1.7023717164993286,OutputType.ATAC,NaN,NaN,NaN
113,EFO:0010882 ATAC-seq,.,ATAC-seq,EFO:0010882,HG03457,cell_line,adult,encode,paired,false,2.2997376918792725,OutputType.ATAC,NaN,NaN,NaN
114,EFO:0010883 ATAC-seq,.,ATAC-seq,EFO:0010883,HG03460,cell_line,adult,encode,paired,false,2.209341287612915,OutputType.ATAC,NaN,NaN,NaN
115,EFO:0010884 ATAC-seq,.,ATAC-seq,EFO:0010884,HG03469,cell_line,adult,encode,paired,false,2.4358503818511963,OutputType.ATAC,NaN,NaN,NaN
116,EFO:0010885 ATAC-seq,.,ATAC-seq,EFO:0010885,HG03520,cell_line,adult,encode,paired,false,2.1533608436584473,OutputType.ATAC,NaN,NaN,NaN
117,EFO:0010886 ATAC-seq,.,ATAC-seq,EFO:0010886,HG03521,cell_line,adult,encode,paired,false,2.1313838958740234,OutputType.ATAC,NaN,NaN,NaN
118,EFO:0010888 ATAC-seq,.,ATAC-seq,EFO:0010888,HG03565,cell_line,adult,encode,paired,false,1.8451646566390991,OutputType.ATAC,NaN,NaN,NaN
119,EFO:0010889 ATAC-seq,.,ATAC-seq,EFO:0010889,HG03571,cell_line,adult,encode,paired,false,1.9630107879638672,OutputType.ATAC,NaN,NaN,NaN
120,NTR:0000491 ATAC-seq,.,ATAC-seq,NTR:0000491,Right ventricle myocardium inferior,tissue,adult,encode,paired,false,0.9412150382995605,OutputType.ATAC,NaN,NaN,NaN
121,NTR:0000492 ATAC-seq,.,ATAC-seq,NTR:0000492,Right ventricle myocardium superior,tissue,adult,encode,paired,false,0.7204328179359436,OutputType.ATAC,NaN,NaN,NaN
122,NTR:0000494 ATAC-seq,.,ATAC-seq,NTR:0000494,left ventricle myocardium superior,tissue,adult,encode,paired,false,0.427097350358963,OutputType.ATAC,NaN,NaN,NaN
123,UBERON:0000056 ATAC-seq,.,ATAC-seq,UBERON:0000056,ureter,tissue,adult,encode,paired,false,0.48642194271087646,OutputType.ATAC,NaN,NaN,NaN
